3	4	32	40	20	2	130	52	48	1	8	2	2	8	2	1	8	2	20	20	4	16	48	0.912981	0.054275	2062995	0.727393	115034.75	47331.75	38415.5	13016.25	5668.75	3822.5	46896.25	28517	0.637161	0.051304	309131
1	4	30	30	8	1	105	100	96	1	12	1	1	20	1	1	16	1	8	8	4	2	8	0.803599	0.0547	1784311	0.554251	115755.5	36908.75	34733.75	11894.5	5275	3494	43368.5	26071	0.533228	0.038168	301751
3	8	30	30	8	5	105	64	60	2	14	5	5	26	5	2	20	5	40	40	8	4	16	1.257902	0.096425	3572312	0.877813	119189.75	60145.75	42233	13729.5	6071.25	4331.75	50445.75	31212	0.710921	0.124306	352573
2	8	40	32	12	4	64	100	96	2	14	4	4	26	4	2	20	4	32	32	8	4	16	1.429975	0.070775	3564204	0.899573	111627.5	60854	39987.25	13368	5869.25	3919.25	48404.5	29378.75	0.760023	0.112932	348330
3	8	30	30	16	3	96	80	64	1	20	3	3	36	3	1	28	3	40	40	8	2	8	1.126256	0.0663	2799598	0.852819	120215.75	63090.5	42360.5	13879.25	6023.5	4276.5	50568.25	31309	0.685595	0.091162	329128
2	4	16	32	12	2	64	100	96	1	20	2	2	36	2	1	28	2	16	16	4	8	32	1.078131	0.048975	1950943	0.725948	109189.25	43260	36700.25	12605.75	5494.5	3606.75	45352.75	27368.25	0.66197	0.056277	310136
1	4	32	40	12	1	96	80	64	1	10	1	1	14	1	1	12	1	24	24	4	4	8	0.815733	0.054825	1915667	0.588751	114861.5	37851.75	35050.25	12019.75	5305	3519.75	43740	26334	0.561127	0.040115	305872
2	8	40	32	16	5	105	80	64	2	20	5	5	36	5	2	28	5	24	24	8	4	8	1.423689	0.076225	3676783	0.903163	112175.75	62184.5	40203	13441.25	5916.25	3943.25	48732.75	29607.25	0.758338	0.131628	356002
3	8	16	32	16	4	32	96	64	2	12	4	4	20	4	2	16	4	8	8	8	8	32	1.080229	0.06875	3316354	0.678641	115657.5	44650.75	37663.5	12754.25	5529.5	3776.75	45875.25	27768.5	0.606456	0.091059	345578
2	8	30	30	12	3	105	64	60	1	14	3	3	26	3	1	20	3	20	20	8	8	32	1.189913	0.058975	2472407	0.844369	110134.25	50940.75	38689.75	13031.25	5766	3795.5	47296	28563	0.737351	0.08796	332678
2	4	16	32	12	2	120	96	64	1	10	2	2	14	2	1	12	2	8	8	4	4	8	0.958004	0.0408	1678502	0.659256	110688.5	40298.25	35878.5	12266	5467.5	3551	44598.75	26721	0.61517	0.049543	309702
2	4	30	30	20	1	32	64	60	1	8	1	1	8	1	1	8	1	20	20	4	4	8	0.767104	0.03805	1521027	0.581766	114945.75	37261.75	34898.25	11957.75	5280	3515.75	43527.75	26181.25	0.556944	0.037871	304522
1	8	30	30	12	5	105	80	64	2	16	5	5	32	5	2	24	5	32	32	8	16	48	1.717571	0.10825	4387261	0.867527	110332.5	58288.5	39217.25	13245.75	5825.75	3843	47928.5	28982.5	0.748796	0.128619	356419
3	8	24	32	20	4	96	80	64	2	14	4	4	26	4	2	20	4	40	40	8	8	32	1.296461	0.10775	3865428	0.903011	121288.75	67405.5	43409.25	13991.5	6186.5	4420.75	51485.75	31959.75	0.714675	0.116052	348373
