Configure,Int Power,Switch Power,Leak Power,Total Power
PRTEDConfig238-benchmarks-whetstone.riscv,5.87e-02,6.31e-03,3.30e-03,6.83e-02
PRTEDConfig239-benchmarks-mt-vvadd.riscv,5.76e-02,6.43e-03,2.77e-03,6.68e-02
PRTEDConfig239-benchmarks-whetstone.riscv,5.94e-02,6.22e-03,2.79e-03,6.84e-02
PRTEDConfig240-benchmarks-mt-vvadd.riscv,6.48e-02,1.03e-02,3.16e-03,7.83e-02
PRTEDConfig240-benchmarks-whetstone.riscv,6.70e-02,9.38e-03,3.18e-03,7.96e-02
PRTEDConfig241-benchmarks-mt-vvadd.riscv,7.30e-02,9.36e-03,3.75e-03,8.61e-02
PRTEDConfig241-benchmarks-whetstone.riscv,7.16e-02,7.27e-03,3.78e-03,8.26e-02
PRTEDConfig242-benchmarks-mt-vvadd.riscv,8.00e-02,1.24e-02,4.04e-03,9.64e-02
PRTEDConfig242-benchmarks-whetstone.riscv,7.71e-02,9.97e-03,4.06e-03,9.11e-02
PRTEDConfig243-benchmarks-mt-vvadd.riscv,5.65e-02,7.55e-03,3.14e-03,6.72e-02
PRTEDConfig243-benchmarks-whetstone.riscv,5.67e-02,6.08e-03,3.16e-03,6.60e-02
PRTEDConfig244-benchmarks-mt-vvadd.riscv,8.25e-02,1.03e-02,4.50e-03,9.73e-02
PRTEDConfig244-benchmarks-whetstone.riscv,8.25e-02,8.12e-03,4.53e-03,9.52e-02
PRTEDConfig245-benchmarks-mt-vvadd.riscv,6.42e-02,7.95e-03,3.79e-03,7.59e-02
PRTEDConfig245-benchmarks-whetstone.riscv,6.53e-02,6.52e-03,3.82e-03,7.56e-02
PRTEDConfig246-benchmarks-mt-vvadd.riscv,7.55e-02,1.15e-02,3.80e-03,9.08e-02
PRTEDConfig246-benchmarks-whetstone.riscv,7.41e-02,9.01e-03,3.82e-03,8.69e-02
PRTEDConfig247-benchmarks-mt-vvadd.riscv,5.75e-02,8.31e-03,3.13e-03,6.89e-02
PRTEDConfig247-benchmarks-whetstone.riscv,5.77e-02,6.60e-03,3.15e-03,6.75e-02
PRTEDConfig248-benchmarks-mt-vvadd.riscv,5.22e-02,6.32e-03,2.71e-03,6.13e-02
PRTEDConfig248-benchmarks-whetstone.riscv,5.50e-02,5.86e-03,2.72e-03,6.36e-02
PRTEDConfig249-benchmarks-mt-vvadd.riscv,7.73e-02,1.09e-02,4.15e-03,9.24e-02
PRTEDConfig249-benchmarks-whetstone.riscv,7.88e-02,9.90e-03,4.16e-03,9.29e-02
PRTEDConfig250-benchmarks-mt-vvadd.riscv,9.32e-02,1.59e-02,4.91e-03,0.114
PRTEDConfig250-benchmarks-whetstone.riscv,9.31e-02,1.37e-02,4.94e-03,0.112
PRTEDConfig251-benchmarks-mt-vvadd.riscv,6.06e-02,7.73e-03,3.34e-03,7.16e-02
PRTEDConfig251-benchmarks-whetstone.riscv,5.92e-02,5.94e-03,3.36e-03,6.85e-02
PRTEDConfig252-benchmarks-mt-vvadd.riscv,7.85e-02,1.25e-02,3.96e-03,9.50e-02
PRTEDConfig252-benchmarks-whetstone.riscv,7.78e-02,1.04e-02,3.98e-03,9.21e-02
PRTEDConfig253-benchmarks-mt-vvadd.riscv,9.95e-02,1.73e-02,4.57e-03,0.121
PRTEDConfig253-benchmarks-whetstone.riscv,9.65e-02,1.44e-02,4.60e-03,0.116
PRTEDConfig254-benchmarks-mt-vvadd.riscv,7.00e-02,1.03e-02,3.61e-03,8.39e-02
PRTEDConfig254-benchmarks-whetstone.riscv,7.18e-02,9.43e-03,3.63e-03,8.49e-02
PRTEDConfig255-benchmarks-mt-vvadd.riscv,6.65e-02,9.61e-03,3.81e-03,7.99e-02
PRTEDConfig255-benchmarks-whetstone.riscv,6.65e-02,7.71e-03,3.84e-03,7.80e-02
PRTEDConfig256-benchmarks-mt-vvadd.riscv,7.64e-02,1.08e-02,3.97e-03,9.12e-02
PRTEDConfig256-benchmarks-whetstone.riscv,7.80e-02,1.00e-02,3.98e-03,9.20e-02
PRTEDConfig257-benchmarks-mt-vvadd.riscv,5.77e-02,7.36e-03,2.81e-03,6.79e-02
PRTEDConfig257-benchmarks-whetstone.riscv,5.74e-02,5.85e-03,2.83e-03,6.61e-02
PRTEDConfig258-benchmarks-mt-vvadd.riscv,0.104,1.60e-02,5.65e-03,0.125
PRTEDConfig258-benchmarks-whetstone.riscv,0.105,1.44e-02,5.68e-03,0.125
PRTEDConfig259-benchmarks-mt-vvadd.riscv,6.35e-02,9.12e-03,3.72e-03,7.64e-02
PRTEDConfig259-benchmarks-whetstone.riscv,6.31e-02,7.30e-03,3.75e-03,7.42e-02
PRTEDConfig260-benchmarks-mt-vvadd.riscv,0.103,1.74e-02,5.63e-03,0.126
PRTEDConfig260-benchmarks-whetstone.riscv,0.104,1.53e-02,5.66e-03,0.125
PRTEDConfig261-benchmarks-mt-vvadd.riscv,4.76e-02,6.20e-03,2.34e-03,5.61e-02
PRTEDConfig261-benchmarks-whetstone.riscv,4.93e-02,5.15e-03,2.35e-03,5.68e-02
PRTEDConfig262-benchmarks-mt-vvadd.riscv,5.87e-02,7.32e-03,3.19e-03,6.92e-02
PRTEDConfig262-benchmarks-whetstone.riscv,5.94e-02,5.96e-03,3.20e-03,6.85e-02
PRTEDConfig263-benchmarks-mt-vvadd.riscv,7.20e-02,1.10e-02,4.14e-03,8.72e-02
PRTEDConfig263-benchmarks-whetstone.riscv,7.21e-02,9.16e-03,4.18e-03,8.54e-02
PRTEDConfig264-benchmarks-mt-vvadd.riscv,8.04e-02,1.06e-02,4.51e-03,9.54e-02
PRTEDConfig264-benchmarks-whetstone.riscv,8.01e-02,8.05e-03,4.55e-03,9.27e-02
PRTEDConfig265-benchmarks-mt-vvadd.riscv,7.28e-02,1.08e-02,4.67e-03,8.83e-02
PRTEDConfig265-benchmarks-whetstone.riscv,7.15e-02,8.14e-03,4.71e-03,8.43e-02
PRTEDConfig266-benchmarks-mt-vvadd.riscv,6.84e-02,9.59e-03,4.23e-03,8.22e-02
PRTEDConfig266-benchmarks-whetstone.riscv,6.81e-02,7.68e-03,4.26e-03,8.01e-02
PRTEDConfig267-benchmarks-mt-vvadd.riscv,6.89e-02,1.12e-02,3.62e-03,8.37e-02
PRTEDConfig267-benchmarks-whetstone.riscv,6.97e-02,9.74e-03,3.64e-03,8.31e-02
PRTEDConfig268-benchmarks-mt-vvadd.riscv,5.68e-02,7.97e-03,3.06e-03,6.78e-02
PRTEDConfig268-benchmarks-whetstone.riscv,5.65e-02,5.88e-03,3.08e-03,6.54e-02
PRTEDConfig269-benchmarks-mt-vvadd.riscv,7.41e-02,1.13e-02,3.61e-03,8.90e-02
PRTEDConfig269-benchmarks-whetstone.riscv,7.47e-02,1.01e-02,3.63e-03,8.84e-02
PRTEDConfig270-benchmarks-mt-vvadd.riscv,7.77e-02,1.19e-02,3.71e-03,9.33e-02
