Configure,Int Power,Switch Power,Leak Power,Total Power
LargeBoomConfig-benchmarks-rv64ui-p-add_200,2.49e-02,5.95e-03,3.85e-03,3.47e-02
LargeBoomConfig-benchmarks-qurt.riscv,2.08e-02,3.53e-03,3.93e-03,2.83e-02
LargeBoomConfig-benchmarks-cover.riscv,1.79e-02,1.72e-03,3.82e-03,2.34e-02
LargeBoomConfig-benchmarks-cnt.riscv,1.92e-02,2.91e-03,3.85e-03,2.59e-02
LargeBoomConfig-benchmarks-complex_updates.riscv,1.80e-02,1.84e-03,3.82e-03,2.37e-02
LargeBoomConfig-benchmarks-hello_world_large.riscv,2.32e-02,4.43e-03,3.91e-03,3.15e-02
LargeBoomConfig-benchmarks-rv64um-p-mulw_200,2.49e-02,5.87e-03,3.85e-03,3.46e-02
LargeBoomConfig-benchmarks-lift.riscv,2.99e-02,8.77e-03,3.89e-03,4.26e-02
LargeBoomConfig-benchmarks-fac.riscv,1.79e-02,1.78e-03,3.82e-03,2.35e-02
LargeBoomConfig-benchmarks-duff.riscv,1.82e-02,1.93e-03,3.82e-03,2.39e-02
LargeBoomConfig-benchmarks-bitonic.riscv,2.01e-02,3.17e-03,3.85e-03,2.72e-02
LargeBoomConfig-benchmarks-martrix_mult.riscv,2.33e-02,4.84e-03,3.91e-03,3.21e-02
LargeBoomConfig-benchmarks-rv64ua-p-amoadd_d_200,1.93e-02,2.55e-03,3.86e-03,2.57e-02
LargeBoomConfig-benchmarks-rv64ui-p-slt_200,2.47e-02,5.92e-03,3.85e-03,3.45e-02
LargeBoomConfig-benchmarks-binarysearch.riscv,1.95e-02,2.79e-03,3.87e-03,2.61e-02
LargeBoomConfig-benchmarks-fir2dim.riscv,1.88e-02,2.37e-03,3.84e-03,2.50e-02
LargeBoomConfig-benchmarks-lms.riscv,2.46e-02,5.59e-03,3.94e-03,3.42e-02
LargeBoomConfig-benchmarks-st.riscv,2.10e-02,3.51e-03,3.91e-03,2.84e-02
LargeBoomConfig-benchmarks-fmref.riscv,2.36e-02,4.96e-03,3.94e-03,3.25e-02
LargeBoomConfig-benchmarks-rv64ud-p-fclass_200,2.61e-02,5.65e-03,3.85e-03,3.56e-02
LargeBoomConfig-benchmarks-rv64ui-p-jalr_200,2.52e-02,5.24e-03,3.84e-03,3.42e-02
LargeBoomConfig-benchmarks-expint.riscv,1.83e-02,2.11e-03,3.87e-03,2.43e-02
LargeBoomConfig-benchmarks-iir.riscv,1.81e-02,1.90e-03,3.82e-03,2.38e-02
LargeBoomConfig-benchmarks-matrix1.riscv,4.202,0.689,3.79e-03,4.895
LargeBoomConfig-benchmarks-frac.riscv,2.02e-02,3.12e-03,3.87e-03,2.72e-02
LargeBoomConfig-benchmarks-insertsort.riscv,1.81e-02,1.88e-03,3.82e-03,2.38e-02
LargeBoomConfig-benchmarks-edn.riscv,2.54e-02,6.38e-03,3.89e-03,3.57e-02
LargeBoomConfig-benchmarks-countnegative.riscv,1.90e-02,2.52e-03,3.86e-03,2.54e-02
LargeBoomConfig-benchmarks-bitcount.riscv,2.04e-02,3.32e-03,3.86e-03,2.76e-02
LargeBoomConfig-benchmarks-jfdcint.riscv,1.83e-02,2.01e-03,3.83e-03,2.41e-02
LargeBoomConfig-benchmarks-rv64ud-p-structural_200,2.77e-02,6.13e-03,3.85e-03,3.77e-02
LargeBoomConfig-benchmarks-ns.riscv,1.74e-02,1.68e-03,3.82e-03,2.29e-02
LargeBoomConfig-benchmarks-select.riscv,1.87e-02,2.30e-03,3.83e-03,2.48e-02
LargeBoomConfig-benchmarks-minver.riscv,1.82e-02,2.02e-03,3.83e-03,2.40e-02
