Configure,Int Power,Switch Power,Leak Power,Total Power
Config86-benchmarks-h264_dec.riscv,6.99e-02,1.54e-02,3.07e-03,8.84e-02
Config87-benchmarks-whetstone.riscv,7.03e-02,9.24e-03,3.51e-03,8.30e-02
Config87-benchmarks-mt-vvadd.riscv,6.91e-02,1.02e-02,3.49e-03,8.28e-02
Config87-benchmarks-fft.riscv,7.30e-02,1.20e-02,3.54e-03,8.85e-02
Config87-benchmarks-h264_dec.riscv,7.63e-02,1.53e-02,3.50e-03,9.51e-02
Config88-benchmarks-whetstone.riscv,5.17e-02,5.72e-03,2.57e-03,6.00e-02
Config88-benchmarks-mt-vvadd.riscv,5.18e-02,7.06e-03,2.55e-03,6.14e-02
Config88-benchmarks-fft.riscv,5.45e-02,8.43e-03,2.59e-03,6.55e-02
Config88-benchmarks-h264_dec.riscv,5.85e-02,1.07e-02,2.56e-03,7.17e-02
Config89-benchmarks-whetstone.riscv,5.42e-02,5.96e-03,2.82e-03,6.29e-02
Config89-benchmarks-mt-vvadd.riscv,5.29e-02,6.60e-03,2.81e-03,6.23e-02
Config89-benchmarks-fft.riscv,5.73e-02,9.10e-03,2.85e-03,6.93e-02
Config89-benchmarks-h264_dec.riscv,6.08e-02,1.11e-02,2.81e-03,7.47e-02
Config90-benchmarks-whetstone.riscv,7.20e-02,9.68e-03,3.57e-03,8.52e-02
Config90-benchmarks-mt-vvadd.riscv,7.22e-02,1.10e-02,3.56e-03,8.68e-02
Config90-benchmarks-fft.riscv,7.69e-02,1.33e-02,3.60e-03,9.38e-02
Config91-benchmarks-whetstone.riscv,6.57e-02,9.37e-03,3.34e-03,7.84e-02
Config91-benchmarks-mt-vvadd.riscv,6.37e-02,9.88e-03,3.32e-03,7.69e-02
Config91-benchmarks-fft.riscv,6.77e-02,1.19e-02,3.38e-03,8.30e-02
Config92-benchmarks-whetstone.riscv,4.66e-02,5.88e-03,2.42e-03,5.49e-02
Config92-benchmarks-mt-vvadd.riscv,4.50e-02,6.56e-03,2.41e-03,5.40e-02
Config92-benchmarks-fft.riscv,4.78e-02,7.72e-03,2.44e-03,5.79e-02
Config92-benchmarks-h264_dec.riscv,5.00e-02,9.38e-03,2.42e-03,6.18e-02
Config93-benchmarks-whetstone.riscv,6.59e-02,9.87e-03,3.44e-03,7.92e-02
Config93-benchmarks-mt-vvadd.riscv,6.45e-02,1.12e-02,3.42e-03,7.90e-02
Config93-benchmarks-fft.riscv,6.68e-02,1.22e-02,3.48e-03,8.25e-02
Config93-benchmarks-h264_dec.riscv,7.21e-02,1.61e-02,3.43e-03,9.17e-02
Config94-benchmarks-whetstone.riscv,6.93e-02,9.74e-03,3.47e-03,8.26e-02
Config94-benchmarks-mt-vvadd.riscv,6.85e-02,1.14e-02,3.45e-03,8.33e-02
Config94-benchmarks-fft.riscv,7.18e-02,1.28e-02,3.49e-03,8.81e-02
Config95-benchmarks-whetstone.riscv,7.24e-02,7.90e-03,4.36e-03,8.46e-02
Config95-benchmarks-mt-vvadd.riscv,7.37e-02,1.04e-02,4.33e-03,8.85e-02
Config95-benchmarks-fft.riscv,7.75e-02,1.22e-02,4.42e-03,9.42e-02
Config95-benchmarks-h264_dec.riscv,8.39e-02,1.72e-02,4.34e-03,0.105
Config96-benchmarks-whetstone.riscv,7.81e-02,9.94e-03,3.98e-03,9.20e-02
Config96-benchmarks-mt-vvadd.riscv,7.93e-02,1.18e-02,3.96e-03,9.50e-02
Config96-benchmarks-fft.riscv,8.38e-02,1.39e-02,4.02e-03,0.102
Config97-benchmarks-whetstone.riscv,6.58e-02,9.34e-03,3.03e-03,7.82e-02
