Configure,Cycles
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-fence_i_200,67685
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-jal_200,4083
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-jalr_200,9088
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-lui_200,4415
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-lw_200,25775
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-ori_200,16898
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-slli_200,21119
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-slt_200,39042
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-sra_200,42497
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-sw_200,48402
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-xori_200,16931
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64um-p-mulw_200,35246
chipyard.TestHarness.GigaBoomConfig-ChipTop-basicmath_small.riscv,78660
chipyard.TestHarness.GigaBoomConfig-ChipTop-bubblesort.riscv,143224
chipyard.TestHarness.GigaBoomConfig-ChipTop-cnt.riscv,21248
chipyard.TestHarness.GigaBoomConfig-ChipTop-compress.riscv,26591
chipyard.TestHarness.GigaBoomConfig-ChipTop-edn.riscv,49954
chipyard.TestHarness.GigaBoomConfig-ChipTop-expint.riscv,41222
chipyard.TestHarness.GigaBoomConfig-ChipTop-frac.riscv,23504
chipyard.TestHarness.GigaBoomConfig-ChipTop-levenshtein.riscv,57681
chipyard.TestHarness.GigaBoomConfig-ChipTop-lift.riscv,146193
chipyard.TestHarness.GigaBoomConfig-ChipTop-ns.riscv,22355
chipyard.TestHarness.GigaBoomConfig-ChipTop-qurt.riscv,210283
chipyard.TestHarness.GigaBoomConfig-ChipTop-select.riscv,16265
chipyard.TestHarness.GigaBoomConfig-ChipTop-sqrt.riscv,147936
chipyard.TestHarness.GigaBoomConfig-ChipTop-tarai.riscv,14791
chipyard.TestHarness.GigaBoomConfig-ChipTop-whetstone.riscv,39746
chipyard.TestHarness.GigaBoomConfig-ChipTop-prime.riscv,21938
chipyard.TestHarness.GigaBoomConfig-ChipTop-fmref.riscv,175034
chipyard.TestHarness.GigaBoomConfig-ChipTop-mergesort.riscv,143682
