Configure,Cycles
chipyard.TestHarness.BOOMConfig40Config-ChipTop-mt-vvadd.riscv,113797
chipyard.TestHarness.BOOMConfig40Config-ChipTop-whetstone.riscv,41488
chipyard.TestHarness.BOOMConfig41Config-ChipTop-fft.riscv,
chipyard.TestHarness.BOOMConfig41Config-ChipTop-h264_dec.riscv,
chipyard.TestHarness.BOOMConfig41Config-ChipTop-mt-vvadd.riscv,111746
chipyard.TestHarness.BOOMConfig41Config-ChipTop-whetstone.riscv,41682
chipyard.TestHarness.BOOMConfig42Config-ChipTop-fft.riscv,163883
chipyard.TestHarness.BOOMConfig42Config-ChipTop-h264_dec.riscv,170009
chipyard.TestHarness.BOOMConfig42Config-ChipTop-mt-vvadd.riscv,114089
chipyard.TestHarness.BOOMConfig42Config-ChipTop-whetstone.riscv,41581
chipyard.TestHarness.BOOMConfig43Config-ChipTop-fft.riscv,136638
chipyard.TestHarness.BOOMConfig43Config-ChipTop-h264_dec.riscv,157154
chipyard.TestHarness.BOOMConfig43Config-ChipTop-mt-vvadd.riscv,99437
chipyard.TestHarness.BOOMConfig43Config-ChipTop-whetstone.riscv,41307
chipyard.TestHarness.BOOMConfig44Config-ChipTop-fft.riscv,162426
chipyard.TestHarness.BOOMConfig44Config-ChipTop-h264_dec.riscv,162078
chipyard.TestHarness.BOOMConfig44Config-ChipTop-mt-vvadd.riscv,114212
chipyard.TestHarness.BOOMConfig44Config-ChipTop-whetstone.riscv,41531
chipyard.TestHarness.BOOMConfig45Config-ChipTop-fft.riscv,149682
chipyard.TestHarness.BOOMConfig45Config-ChipTop-h264_dec.riscv,154455
chipyard.TestHarness.BOOMConfig45Config-ChipTop-mt-vvadd.riscv,99379
chipyard.TestHarness.BOOMConfig45Config-ChipTop-whetstone.riscv,41423
chipyard.TestHarness.BOOMConfig46Config-ChipTop-fft.riscv,146737
chipyard.TestHarness.BOOMConfig46Config-ChipTop-h264_dec.riscv,145021
