Configure,Int Power,Switch Power,Leak Power,Total Power
Config281-benchmarks-mt-vvadd.riscv,4.97e-02,6.26e-03,2.37e-03,5.84e-02
Config281-benchmarks-whetstone.riscv,5.18e-02,5.73e-03,2.38e-03,5.99e-02
Config282-benchmarks-mt-vvadd.riscv,8.32e-02,1.39e-02,4.69e-03,0.102
Config282-benchmarks-whetstone.riscv,8.16e-02,1.12e-02,4.73e-03,9.76e-02
Config283-benchmarks-mt-vvadd.riscv,6.82e-02,1.05e-02,3.91e-03,8.26e-02
Config283-benchmarks-whetstone.riscv,6.85e-02,8.73e-03,3.94e-03,8.12e-02
Config284-benchmarks-mt-vvadd.riscv,7.37e-02,1.18e-02,4.28e-03,8.97e-02
Config284-benchmarks-whetstone.riscv,7.24e-02,9.64e-03,4.30e-03,8.64e-02
Config285-benchmarks-mt-vvadd.riscv,5.66e-02,1.03e-02,2.75e-03,6.96e-02
Config285-benchmarks-whetstone.riscv,6.10e-02,1.10e-02,2.75e-03,7.47e-02
Config286-benchmarks-mt-vvadd.riscv,6.64e-02,1.17e-02,3.61e-03,8.17e-02
Config286-benchmarks-whetstone.riscv,6.51e-02,9.67e-03,3.63e-03,7.84e-02
Config287-benchmarks-mt-vvadd.riscv,6.98e-02,1.18e-02,3.72e-03,8.53e-02
Config287-benchmarks-whetstone.riscv,7.03e-02,1.03e-02,3.75e-03,8.43e-02
Config288-benchmarks-mt-vvadd.riscv,6.94e-02,9.49e-03,3.94e-03,8.28e-02
Config288-benchmarks-whetstone.riscv,6.89e-02,7.46e-03,3.96e-03,8.03e-02
Config289-benchmarks-mt-vvadd.riscv,5.99e-02,8.66e-03,3.64e-03,7.22e-02
Config289-benchmarks-whetstone.riscv,6.03e-02,7.16e-03,3.67e-03,7.11e-02
Config290-benchmarks-mt-vvadd.riscv,8.22e-02,1.40e-02,4.64e-03,0.101
Config291-benchmarks-mt-vvadd.riscv,8.44e-02,1.44e-02,4.73e-03,0.104
Config291-benchmarks-whetstone.riscv,8.30e-02,1.18e-02,4.77e-03,9.96e-02
Config292-benchmarks-mt-vvadd.riscv,5.82e-02,8.83e-03,3.51e-03,7.05e-02
Config292-benchmarks-whetstone.riscv,5.73e-02,6.39e-03,3.53e-03,6.73e-02
Config293-benchmarks-mt-vvadd.riscv,6.82e-02,1.09e-02,3.38e-03,8.25e-02
Config293-benchmarks-whetstone.riscv,6.88e-02,9.23e-03,3.39e-03,8.14e-02
Config294-benchmarks-mt-vvadd.riscv,5.84e-02,8.32e-03,3.28e-03,7.00e-02
Config294-benchmarks-whetstone.riscv,5.96e-02,6.89e-03,3.30e-03,6.98e-02
Config295-benchmarks-mt-vvadd.riscv,7.40e-02,1.02e-02,4.18e-03,8.84e-02
Config295-benchmarks-whetstone.riscv,7.55e-02,9.69e-03,4.19e-03,8.94e-02
Config296-benchmarks-mt-vvadd.riscv,6.93e-02,1.03e-02,3.59e-03,8.33e-02
Config296-benchmarks-whetstone.riscv,7.07e-02,9.69e-03,3.60e-03,8.40e-02
Config297-benchmarks-mt-vvadd.riscv,6.32e-02,7.46e-03,3.40e-03,7.41e-02
Config297-benchmarks-whetstone.riscv,6.36e-02,6.18e-03,3.42e-03,7.32e-02
Config298-benchmarks-mt-vvadd.riscv,5.84e-02,7.14e-03,2.93e-03,6.84e-02
Config298-benchmarks-whetstone.riscv,5.75e-02,5.73e-03,2.95e-03,6.62e-02
Config299-benchmarks-mt-vvadd.riscv,7.70e-02,1.21e-02,4.03e-03,9.32e-02
Config299-benchmarks-whetstone.riscv,7.80e-02,1.06e-02,4.06e-03,9.27e-02
Config300-benchmarks-mt-vvadd.riscv,6.49e-02,9.90e-03,4.14e-03,7.90e-02
