12	56	1024	1	16	0	8	0	0	0	64	1	16	0	0.35807	0.005595333	523084.635
12	56	1024	4	32	1	1	0	0	1	64	1	16	0	0.516941333	0.007005	593861.943
12	56	1024	2	32	1	8	1	1	1	32	1	4	0	0.435932	0.006884667	455894.273
3	14	256	1	16	1	8	1	1	1	64	1	4	2	0.515257667	0.006757333	422297.374
3	14	256	2	16	1	8	1	1	1	32	1	4	0	0.435890333	0.006507333	419331.757
8	32	512	4	32	0	8	1	1	1	64	2	16	0	0.632267	0.006017667	568150.316
0	0	0	1	4	0	8	0	0	0	64	1	4	2	0.288189333	0.005294333	443461.907
0	0	0	2	16	1	1	0	0	0	64	4	32	1	0.727774333	0.005921	744847.713
6	28	512	2	16	0	1	0	0	1	64	4	32	2	0.649156	0.006125	481977.656
12	56	1024	2	32	1	8	0	0	0	64	4	32	2	0.847504333	0.006678	801799.786
