episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
97,0.155918,-0.797794,0.065078,0.138725,-0.738743,0.062664,0.176262,-0.001768,0.098444,0.009481,-0.936471,0.013852
98,0.122973,-0.896289,0.048556,0.150074,-0.828195,0.065578,0.176262,-0.789676,0.098444,0.102051,-0.936471,0.013852
99,0.152329,-0.764978,0.061398,0.147809,-0.824913,0.06521,0.176262,-0.764978,0.098444,0.102051,-0.936471,0.013852
100,0.155918,-0.797794,0.065078,0.145774,-0.823986,0.061873,0.174984,-0.764978,0.096101,0.102051,-0.936471,0.013852
101,0.155918,-0.797794,0.065078,0.146042,-0.819929,0.058771,0.174984,-0.764978,0.090577,0.102051,-0.936471,0.013852
102,0.155918,-0.797794,0.065078,0.144135,-0.819929,0.058771,0.156167,-0.764978,0.090577,0.102051,-0.936471,0.013852
103,0.155918,-0.797794,0.065078,0.149522,-0.806062,0.060485,0.156167,-0.764978,0.090577,0.122973,-0.896289,0.013852
104,-0.002955,-0.00252,0.030376,0.13361,-0.724023,0.062137,0.155918,-0.00252,0.090577,-0.002955,-0.896289,0.030376
105,0.174984,-0.797794,0.065078,0.138284,-0.724835,0.059587,0.174984,-0.00252,0.065078,-0.002955,-0.896289,0.030376
106,0.174984,-0.797794,0.065078,0.14019,-0.724835,0.059587,0.174984,-0.00252,0.065078,-0.002955,-0.896289,0.030376
107,0.174984,-0.797794,0.065078,0.142097,-0.724835,0.059587,0.174984,-0.00252,0.065078,-0.002955,-0.896289,0.030376
108,0.174984,-0.797794,0.065078,0.147298,-0.714985,0.06124,0.174984,-0.00252,0.065078,-0.002955,-0.797794,0.030376
109,0.174984,-0.797794,0.065078,0.149564,-0.718267,0.061607,0.174984,-0.00252,0.065078,-0.002955,-0.797794,0.030376
110,0.174984,-0.797794,0.065078,0.15147,-0.718267,0.061607,0.174984,-0.00252,0.065078,-0.002955,-0.797794,0.030376
111,0.174984,-0.797794,0.065078,0.153377,-0.718267,0.061607,0.174984,-0.00252,0.065078,-0.002955,-0.797794,0.030376
112,0.155918,-0.797794,0.065078,0.153377,-0.718267,0.061607,0.174984,-0.00252,0.065078,-0.002955,-0.797794,0.030376
113,0.155918,-0.797794,0.065078,0.153377,-0.718267,0.061607,0.174984,-0.00252,0.065078,-0.002955,-0.797794,0.030376
114,0.155918,-0.797794,0.065078,0.169264,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.155918,-0.797794,0.065078
115,0.155918,-0.797794,0.065078,0.167357,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.155918,-0.797794,0.065078
116,0.155918,-0.797794,0.065078,0.165451,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.155918,-0.797794,0.065078
117,0.155918,-0.797794,0.065078,0.163544,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.155918,-0.797794,0.065078
118,0.155918,-0.797794,0.065078,0.161638,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.155918,-0.797794,0.065078
119,0.155918,-0.797794,0.065078,0.159731,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.155918,-0.797794,0.065078
120,0,0,0,0.142233,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
121,0.049907,-0.575393,0.065078,0.129725,-0.695775,0.05857,0.155918,0,0.065078,0,-0.797794,0
122,0.049907,-0.575393,0.065078,0.119124,-0.673535,0.05857,0.155918,0,0.065078,0,-0.797794,0
123,0.049907,-0.575393,0.065078,0.108523,-0.651294,0.05857,0.155918,0,0.065078,0,-0.797794,0
124,0.049907,-0.575393,0.065078,0.097922,-0.629054,0.05857,0.155918,0,0.065078,0,-0.797794,0
125,0.049907,-0.575393,0.065078,0.087321,-0.606814,0.05857,0.155918,0,0.065078,0,-0.797794,0
126,0.049907,-0.575393,0.065078,0.076719,-0.584574,0.05857,0.155918,0,0.065078,0,-0.797794,0
127,0.049907,-0.575393,0.065078,0.066118,-0.562334,0.05857,0.155918,0,0.065078,0,-0.797794,0
128,0.049907,-0.575393,0.065078,0.055517,-0.540094,0.05857,0.155918,0,0.065078,0,-0.797794,0
129,0.070644,0.026853,0.018202,0.04699,-0.457629,0.053882,0.070644,0.026853,0.065078,0,-0.575393,0
130,0.174984,-0.797794,0.065078,0.064488,-0.537408,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
131,0.174984,-0.797794,0.065078,0.076996,-0.559648,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
132,0.174984,-0.797794,0.065078,0.089503,-0.581889,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
133,0.174984,-0.797794,0.065078,0.102011,-0.604129,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
134,0.174984,-0.797794,0.065078,0.114519,-0.626369,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
135,0.174984,-0.797794,0.065078,0.127027,-0.648609,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
136,0.174984,-0.797794,0.065078,0.139534,-0.670849,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
137,0.174984,-0.797794,0.065078,0.152042,-0.693089,0.06039,0.174984,0.026853,0.065078,0.049907,-0.797794,0.018202
138,0.174984,-0.797794,0.065078,0.16455,-0.71533,0.06039,0.174984,0.026853,0.065078,0.070644,-0.797794,0.018202
139,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
140,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
141,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
142,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
143,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
144,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
145,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
146,0.002678,0.030845,0.038816,0.157753,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
147,0.155918,-0.797794,0.065078,0.155846,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
148,0.155918,-0.797794,0.065078,0.15394,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
149,0.155918,-0.797794,0.065078,0.152033,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
150,0.155918,-0.797794,0.065078,0.150127,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
151,0.155918,-0.797794,0.065078,0.14822,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
152,0.174984,-0.797794,0.065078,0.14822,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
153,0.174984,-0.797794,0.065078,0.14822,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
154,0.174984,-0.797794,0.065078,0.14822,-0.71493,0.062451,0.174984,0.030845,0.065078,0.002678,-0.797794,0.038816
155,0,0,0,0.130722,-0.635151,0.055944,0.174984,0.030845,0.065078,0,-0.797794,0
156,0.174984,-0.797794,0.065078,0.147952,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
157,0.174984,-0.797794,0.065078,0.149859,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
158,0.174984,-0.797794,0.065078,0.151766,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
159,0.174984,-0.797794,0.065078,0.153672,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
160,0.174984,-0.797794,0.065078,0.155579,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
161,0.174984,-0.797794,0.065078,0.157485,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
162,0.174984,-0.797794,0.065078,0.157485,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
163,0.174984,-0.797794,0.065078,0.157485,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
164,0.174984,-0.797794,0.065078,0.157485,-0.718015,0.05857,0.174984,0,0.065078,0,-0.797794,0
165,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
166,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078,0.174984,-0.797794,0.065078
