episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
106,0.097906,0.044529,0.056392,0.09459,0.036611,0.056133,0.150825,0.533885,0.091555,0.000083,-0.157916,0.011299
107,0.099448,0.043682,0.056566,0.09554,0.037383,0.056202,0.151308,0.539157,0.091025,0.000022,-0.156684,0.01168
108,0.100959,0.042853,0.056736,0.096575,0.038335,0.056303,0.151782,0.544323,0.090506,-0.000038,-0.153506,0.012054
109,0.102439,0.04204,0.056903,0.097635,0.039203,0.056409,0.152246,0.549386,0.089998,-0.000096,-0.150392,0.012421
110,0.10389,0.041243,0.057066,0.098712,0.040054,0.056513,0.1527,0.554348,0.089499,-0.000153,-0.14734,0.01278
111,0.105312,0.040462,0.057226,0.099805,0.040887,0.056615,0.153146,0.559211,0.089011,-0.000209,-0.144349,0.013132
112,0.106324,0.039697,0.057383,0.100876,0.041704,0.056715,0.153583,0.563976,0.088532,-0.000264,-0.141418,0.013477
113,0.107316,0.038947,0.057537,0.101926,0.042505,0.056812,0.154011,0.568646,0.088063,-0.000318,-0.138545,0.013815
114,0.108288,0.038212,0.057688,0.103273,0.041699,0.056978,0.15443,0.557317,0.087603,0.002807,-0.13573,0.01484
115,0.109241,0.037492,0.057836,0.104555,0.040909,0.05714,0.154841,0.546215,0.087153,0.005869,-0.132972,0.015845
116,0.110174,0.036787,0.057981,0.105773,0.040135,0.057298,0.155244,0.535335,0.086711,0.00887,-0.130268,0.016829
117,0.111089,0.036095,0.058123,0.106928,0.039376,0.057454,0.155639,0.524672,0.086279,0.011811,-0.127619,0.017794
118,0.111986,0.035417,0.058262,0.108022,0.038633,0.057607,0.156026,0.514223,0.085855,0.014693,-0.125022,0.01874
119,0.112864,0.034753,0.058398,0.109057,0.037904,0.057756,0.156405,0.503983,0.085439,0.017518,-0.122478,0.019667
120,0.110607,0.050058,0.05723,0.10972,0.038786,0.057772,0.156777,0.509903,0.085032,0.017167,-0.119984,0.019273
121,0.109393,0.053549,0.057387,0.11012,0.040095,0.057788,0.156759,0.515705,0.084633,0.016824,-0.11754,0.018888
122,0.108203,0.05697,0.057541,0.1103,0.041822,0.057804,0.156743,0.521391,0.084242,0.016487,-0.115145,0.01851
123,0.107037,0.060323,0.057692,0.110265,0.04396,0.057819,0.156726,0.526963,0.083858,0.016158,-0.112798,0.01814
124,0.105895,0.063609,0.057839,0.110018,0.0465,0.057834,0.15671,0.532424,0.083483,0.015834,-0.110498,0.017777
125,0.104775,0.066829,0.057984,0.109564,0.049433,0.057849,0.156694,0.537775,0.083115,0.015518,-0.108244,0.017422
126,0.103678,0.069984,0.058126,0.108907,0.052753,0.057863,0.156679,0.54302,0.082754,0.015207,-0.106035,0.017073
127,0.102602,0.073077,0.058265,0.108051,0.056451,0.057877,0.156663,0.548159,0.0824,0.014903,-0.10387,0.016732
128,0.101548,0.076107,0.058401,0.107001,0.060521,0.057891,0.156648,0.553196,0.082054,0.014605,-0.101749,0.016397
129,0.10093,0.091122,0.057597,0.1058,0.066158,0.057811,0.154928,0.558669,0.081714,0.014313,-0.095222,0.016069
130,0.102411,0.089344,0.057747,0.104974,0.070086,0.057863,0.155329,0.564033,0.081382,0.015025,-0.093273,0.016112
131,0.103863,0.087601,0.057893,0.104415,0.073492,0.057913,0.155723,0.569289,0.081056,0.015723,-0.091363,0.016154
132,0.105285,0.085893,0.058037,0.104116,0.076384,0.057963,0.156108,0.574441,0.080736,0.016406,-0.089492,0.016195
133,0.106679,0.084219,0.058178,0.104074,0.078774,0.058011,0.156485,0.579489,0.080423,0.017076,-0.087658,0.016235
134,0.108045,0.082579,0.058316,0.104283,0.080671,0.058059,0.156855,0.584436,0.080116,0.017733,-0.085861,0.016274
135,0.109384,0.080972,0.058451,0.104738,0.082085,0.058106,0.157218,0.589285,0.079815,0.018376,-0.084099,0.016313
136,0.110696,0.079396,0.058584,0.105434,0.083027,0.058151,0.157573,0.594036,0.07952,0.019007,-0.082373,0.01635
137,0.111982,0.077852,0.058714,0.106366,0.083504,0.058196,0.157921,0.598692,0.079232,0.019625,-0.080682,0.016387
138,0.113242,0.07634,0.058841,0.10753,0.083528,0.05824,0.158263,0.603255,0.078948,0.020645,-0.079024,0.016424
139,0.114477,0.074857,0.058966,0.108879,0.081901,0.058377,0.158597,0.591234,0.078671,0.023732,-0.077399,0.017397
140,0.115687,0.073404,0.059088,0.110201,0.080307,0.058511,0.158925,0.579454,0.078399,0.026757,-0.075807,0.01835
141,0.116873,0.07198,0.059208,0.111497,0.078745,0.058642,0.159246,0.567909,0.078133,0.029722,-0.074247,0.019285
142,0.118035,0.070584,0.059325,0.112766,0.077214,0.058771,0.159561,0.556595,0.077872,0.032627,-0.072718,0.020201
143,0.119174,0.069217,0.05944,0.114011,0.075714,0.058897,0.159869,0.545507,0.077616,0.035474,-0.07122,0.021098
144,0.12029,0.067877,0.059553,0.11523,0.074244,0.05902,0.160171,0.534641,0.077365,0.038264,-0.069751,0.021978
145,0.121384,0.066563,0.059663,0.116425,0.072803,0.059142,0.160468,0.523992,0.077119,0.040999,-0.068312,0.02284
146,0.11901,0.081849,0.059246,0.117252,0.073049,0.059208,0.160758,0.530129,0.076878,0.040232,-0.066902,0.023159
147,0.119748,0.080256,0.059363,0.118024,0.073289,0.059273,0.161042,0.536144,0.076642,0.039481,-0.065519,0.023473
148,0.120471,0.078695,0.059477,0.118742,0.073525,0.059336,0.161321,0.542038,0.076411,0.038745,-0.064165,0.023779
149,0.12118,0.077165,0.059589,0.119408,0.073756,0.059399,0.161595,0.547814,0.076184,0.038024,-0.062837,0.02408
150,0.121875,0.075666,0.059699,0.120022,0.073982,0.05946,0.161862,0.553474,0.075962,0.037317,-0.061537,0.024375
151,0.122556,0.074197,0.059807,0.120586,0.074204,0.059519,0.162125,0.559022,0.075745,0.036624,-0.060262,0.024664
152,0.123604,0.072757,0.059912,0.121139,0.074421,0.059578,0.162382,0.564458,0.075531,0.035945,-0.059012,0.024947
153,0.124632,0.071346,0.060015,0.12168,0.074634,0.059636,0.162634,0.569786,0.075322,0.03528,-0.057788,0.025224
154,0.125639,0.069963,0.060117,0.122211,0.074843,0.059692,0.162881,0.575007,0.075117,0.034628,-0.056588,0.025496
155,0.123126,0.084564,0.058914,0.122381,0.076643,0.059617,0.163123,0.580124,0.074917,0.033935,-0.055412,0.024986
156,0.124163,0.082917,0.059038,0.122893,0.07675,0.059596,0.16336,0.584522,0.07472,0.033256,-0.05426,0.024486
157,0.12518,0.081302,0.059158,0.123432,0.076854,0.059575,0.163593,0.588831,0.074527,0.032591,-0.053131,0.023997
158,0.126176,0.079721,0.059277,0.123999,0.076957,0.059555,0.163821,0.593054,0.074338,0.031939,-0.052024,0.023517
