Configure,Int Power,Switch Power,Leak Power,Total Power
LargeBoomConfig-benchmarks-rv64ui-p-xori_200,2.54e-02,6.09e-03,3.86e-03,3.54e-02
LargeBoomConfig-benchmarks-rv64um-p-mulw_200,2.49e-02,5.87e-03,3.85e-03,3.46e-02
LargeBoomConfig-benchmarks-select.riscv,1.87e-02,2.30e-03,3.83e-03,2.48e-02
LargeBoomConfig-benchmarks-spmv.riscv,2.08e-02,3.72e-03,3.86e-03,2.84e-02
LargeBoomConfig-benchmarks-sqrt.riscv,2.03e-02,3.19e-03,3.93e-03,2.74e-02
LargeBoomConfig-benchmarks-st.riscv,2.10e-02,3.51e-03,3.91e-03,2.84e-02
LargeBoomConfig-benchmarks-statemate.riscv,2.18e-02,4.01e-03,3.86e-03,2.97e-02
LargeBoomConfig-benchmarks-tarai.riscv,1.83e-02,2.00e-03,3.82e-03,2.41e-02
LargeBoomConfig-benchmarks-towers.riscv,2.19e-02,4.01e-03,3.87e-03,2.98e-02
LargeBoomConfig-benchmarks-vvadd.riscv,2.03e-02,3.25e-03,3.85e-03,2.74e-02
LargeBoomConfig-benchmarks-whetstone.riscv,1.91e-02,2.65e-03,3.88e-03,2.56e-02
LargeBoomConfig-benchmarks-mm.riscv,1.99e-02,2.94e-03,3.86e-03,2.67e-02
LargeBoomConfig-benchmarks-mt-matmul.riscv,2.27e-02,4.39e-03,3.87e-03,3.09e-02
LargeBoomConfig-benchmarks-mt-vvadd.riscv,1.99e-02,3.18e-03,3.86e-03,2.69e-02
LargeBoomConfig-benchmarks-whetstone.riscv-2G,8.02e-02,1.04e-02,3.88e-03,9.45e-02
MegaBoomConfig-benchmarks-add_fp.riscv,2.83e-02,3.47e-03,6.33e-03,3.81e-02
MegaBoomConfig-benchmarks-add_fp_large.riscv,2.83e-02,3.46e-03,6.33e-03,3.81e-02
MegaBoomConfig-benchmarks-add_int.riscv,3.29e-02,6.17e-03,6.40e-03,4.55e-02
MegaBoomConfig-benchmarks-add_int_large.riscv,3.60e-02,7.88e-03,6.44e-03,5.03e-02
MegaBoomConfig-benchmarks-adpcm_dec.riscv,2.93e-02,4.02e-03,6.46e-03,3.98e-02
MegaBoomConfig-benchmarks-adpcm_enc.riscv,2.88e-02,3.58e-03,6.46e-03,3.88e-02
MegaBoomConfig-benchmarks-basicmath_small.riscv,3.24e-02,6.29e-03,6.48e-03,4.52e-02
MegaBoomConfig-benchmarks-binarysearch.riscv,2.84e-02,3.88e-03,6.38e-03,3.87e-02
MegaBoomConfig-benchmarks-bitcount.riscv,2.98e-02,4.81e-03,6.36e-03,4.10e-02
MegaBoomConfig-benchmarks-bitonic.riscv,2.89e-02,4.20e-03,6.33e-03,3.94e-02
MegaBoomConfig-benchmarks-branchy.riscv,2.61e-02,2.23e-03,6.29e-03,3.47e-02
MegaBoomConfig-benchmarks-branchy_large.riscv,2.61e-02,2.23e-03,6.29e-03,3.47e-02
MegaBoomConfig-benchmarks-bsort.riscv,3.75e-02,1.02e-02,6.41e-03,5.40e-02
MegaBoomConfig-benchmarks-bubblesort.riscv,3.72e-02,9.76e-03,6.45e-03,5.34e-02
MegaBoomConfig-benchmarks-cjpeg_wrbmp.riscv,3.01e-02,5.38e-03,6.39e-03,4.19e-02
MegaBoomConfig-benchmarks-cnt.riscv,2.79e-02,3.68e-03,6.34e-03,3.79e-02
MegaBoomConfig-benchmarks-complex_updates.riscv,2.62e-02,2.37e-03,6.31e-03,3.49e-02
MegaBoomConfig-benchmarks-compress.riscv,2.67e-02,2.93e-03,6.31e-03,3.60e-02
MegaBoomConfig-benchmarks-countnegative.riscv,2.81e-02,3.64e-03,6.36e-03,3.81e-02
MegaBoomConfig-benchmarks-cover.riscv,2.62e-02,2.26e-03,6.29e-03,3.48e-02
MegaBoomConfig-benchmarks-crc.riscv,3.16e-02,5.96e-03,6.37e-03,4.39e-02
MegaBoomConfig-benchmarks-dhrystone.riscv,3.88e-02,1.06e-02,6.43e-03,5.58e-02
MegaBoomConfig-benchmarks-duff.riscv,2.64e-02,2.44e-03,6.30e-03,3.51e-02
MegaBoomConfig-benchmarks-edn.riscv,3.66e-02,9.17e-03,6.41e-03,5.21e-02
MegaBoomConfig-benchmarks-expint.riscv,2.69e-02,2.73e-03,6.39e-03,3.61e-02
MegaBoomConfig-benchmarks-fac.riscv,2.61e-02,2.25e-03,6.29e-03,3.47e-02
MegaBoomConfig-benchmarks-fft.riscv,3.05e-02,4.87e-03,6.44e-03,4.18e-02
MegaBoomConfig-benchmarks-fibonacci.riscv,3.24e-02,5.94e-03,6.36e-03,4.47e-02
MegaBoomConfig-benchmarks-fir2dim.riscv,2.74e-02,3.17e-03,6.32e-03,3.69e-02
MegaBoomConfig-benchmarks-fmref.riscv,3.59e-02,7.97e-03,6.54e-03,5.04e-02
MegaBoomConfig-benchmarks-frac.riscv,2.95e-02,4.30e-03,6.38e-03,4.02e-02
MegaBoomConfig-benchmarks-h264_dec.riscv,3.30e-02,7.10e-03,6.38e-03,4.65e-02
MegaBoomConfig-benchmarks-hello_world.riscv,3.42e-02,6.95e-03,6.40e-03,4.76e-02
MegaBoomConfig-benchmarks-hello_world_large.riscv,3.46e-02,7.16e-03,6.41e-03,4.81e-02
MegaBoomConfig-benchmarks-huff_dec.riscv,3.72e-02,9.37e-03,6.42e-03,5.30e-02
MegaBoomConfig-benchmarks-iir.riscv,2.64e-02,2.43e-03,6.30e-03,3.51e-02
MegaBoomConfig-benchmarks-insertsort.riscv,2.64e-02,2.42e-03,6.30e-03,3.51e-02
MegaBoomConfig-benchmarks-jfdcint.riscv,2.66e-02,2.58e-03,6.31e-03,3.55e-02
MegaBoomConfig-benchmarks-levenshtein.riscv,3.71e-02,8.96e-03,6.41e-03,5.25e-02
MegaBoomConfig-benchmarks-lift.riscv,4.33e-02,1.30e-02,6.42e-03,6.28e-02
MegaBoomConfig-benchmarks-lms.riscv,3.24e-02,6.13e-03,6.44e-03,4.49e-02
MegaBoomConfig-benchmarks-ludcmp.riscv,2.55e-02,2.30e-03,6.30e-03,3.41e-02
MegaBoomConfig-benchmarks-martrix_mult.riscv,3.08e-02,5.36e-03,6.36e-03,4.25e-02
MegaBoomConfig-benchmarks-matrix1.riscv,5.084,0.848,6.26e-03,5.938
MegaBoomConfig-benchmarks-median.riscv,3.13e-02,5.81e-03,6.37e-03,4.34e-02
MegaBoomConfig-benchmarks-mergesort.riscv,4.17e-02,1.26e-02,6.48e-03,6.08e-02
MegaBoomConfig-benchmarks-minver.riscv,2.65e-02,2.62e-03,6.31e-03,3.55e-02
MegaBoomConfig-benchmarks-mm.riscv,3.68e-02,8.51e-03,6.50e-03,5.18e-02
MegaBoomConfig-benchmarks-mt-matmul.riscv,3.23e-02,6.03e-03,6.37e-03,4.47e-02
MegaBoomConfig-benchmarks-mt-vvadd.riscv,2.93e-02,4.59e-03,6.35e-03,4.02e-02
MegaBoomConfig-benchmarks-multiply.riscv,3.47e-02,7.27e-03,6.39e-03,4.84e-02
MegaBoomConfig-benchmarks-ndes.riscv,3.22e-02,6.40e-03,6.40e-03,4.50e-02
MegaBoomConfig-benchmarks-ns.riscv,2.56e-02,2.12e-03,6.29e-03,3.40e-02
MegaBoomConfig-benchmarks-petrinet.riscv,2.82e-02,3.73e-03,6.32e-03,3.82e-02
MegaBoomConfig-benchmarks-prime.riscv,2.74e-02,3.04e-03,6.35e-03,3.68e-02
MegaBoomConfig-benchmarks-qsort.riscv,3.56e-02,8.34e-03,6.46e-03,5.04e-02
MegaBoomConfig-benchmarks-qurt.riscv,2.93e-02,4.25e-03,6.45e-03,4.00e-02
MegaBoomConfig-benchmarks-recursion.riscv,2.69e-02,2.73e-03,6.30e-03,3.59e-02
MegaBoomConfig-benchmarks-reduce_array.riscv,2.49e-02,2.11e-03,6.29e-03,3.33e-02
