idx median-instructions median-cycles   median-ipc  towers-instructions towers-cycles   towers-ipc  vvadd-instructions  vvadd-cycles    vvadd-ipc   multiply-instructions   multiply-cycles multiply-ipc    median-power    towers-power    vvadd-power multiply-power  area
302 4579    4810    /   8791    5959    /   6514    3234    /   48788   29604   /   0.0978  0.0969  0.0949 0.103   4074261.809
303 4579    8416    /   8791    10693   /   6514    8470    /   48788   61961   /   0.0584  0.0576  0.0567 0.0613  2577955.449
304 4579    5583    /   8791    8570    /   6514    4321    /   48788   41589   /   0.0659  0.0654  0.064  0.0715  2533785.444
305 4579    9789    /   8791    10465   /   6514    6845    /   48788   64102   /   0.0445  0.0444  0.0435 0.047   1666408.827
306 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   3591463.024
307 4579    5081    /   8791    5904    /   6514    4366    /   48788   32746   /   0.12    0.119   0.118  0.125   3975248.313
308 4579    11913   /   8791    8787    /   6514    3838    /   48788   52274   /   0.0629  0.062   0.0609 0.0671  2725725.99
309 4579    8487    /   8791    9271    /   6514    5068    /   48788   55646   /   0.0503  0.0502  0.0489 0.0541  2106439.225
310 4579    12717   /   8791    10555   /   6514    7070    /   48788   67905   /   0.0516  0.0515  0.0504 0.0545  1970849.51
311 4579    4871    /   8791    5674    /   6514    3403    /   48788   29480   /   0.122   0.121   0.119  0.127   4112426.39
312 4579    7592    /   8791    6589    /   6514    3273    /   48788   43108   /   0.0609  0.0601  0.0588 0.0645  3147762.631
313 4579    7965    /   8791    9995    /   6514    4500    /   48788   43391   /   0.0579  0.0568  0.0559 0.0614  2458194.906
314 4579    8544    /   8791    8874    /   6514    5007    /   48788   55645   /   0.0396  0.0395  0.0383 0.043   1759750.508
315 4579    9780    /   8791    10441   /   6514    6868    /   48788   64093   /   0.044   0.0439  0.0427 0.0474  1792098.771
316 4579    4764    /   8791    6041    /   6514    2925    /   48788   29714   /   0.0914  0.0903  0.0887 0.0967  3916049.43
317 4579    5097    /   8791    5878    /   6514    2729    /   48788   29590   /   0.094   0.0931  0.0912 0.0989  4111376.792
318 4579    11913   /   8791    10112   /   6514    4639    /   48788   52544   /   0.0575  0.0565  0.0556 0.0621  2453311.343
319 4579    12194   /   8791    9026    /   6514    5319    /   48788   65820   /   0.0458  0.0455  0.0441 0.0494  2062863.816
320 4579    13160   /   8791    10540   /   6514    7093    /   48788   67905   /   0.0383  0.0378  0.0369 0.0411  1570789.52
321 4579    4767    /   8791    5973    /   6514    2882    /   48788   29660   /   0.103   0.102   0.1    0.108   4358793.334
322 4579    4884    /   8791    5694    /   6514    3245    /   48788   29845   /   0.1 0.099   0.0971 0.105   4131479.127
323 4579    12121   /   8791    10781   /   6514    8472    /   48788   60911   /   0.0588  0.0578  0.0566 0.0622  2605877.285
324 4579    5698    /   8791    8583    /   6514    4982    /   48788   41929   /   0.0511  0.0509  0.0496 0.0558  1855576.851
325 4579    13387   /   8791    10682   /   6514    6959    /   48788   68781   /   0.0439  0.0435  0.0426 0.047   1677061.558
326 4579    7447    /   8791    6463    /   6514    3273    /   48788   43156   /   0.0693  0.0681  0.0668 0.0735  3471785
327 4579    11842   /   8791    11504   /   6514    8867    /   48788   64634   /   0.0662  0.0649  0.0639 0.0691  3284142.676
328 4579    12176   /   8791    10800   /   6514    8551    /   48788   61207   /   0.0653  0.0643  0.0633 0.0687  2770153.204
329 4579    8729    /   8791    10437   /   6514    8095    /   48788   61049   /   0.0424  0.0422  0.0411 0.0452  1768488.745
330 4579    9789    /   8791    10454   /   6514    6841    /   48788   64079   /   0.0421  0.042   0.0408 0.0458  1727941.234
331 4579    11550   /   8791    9094    /   6514    4265    /   48788   52176   /   0.0697  0.0684  0.0673 0.0746  3736604.841
332 4579    7009    /   8791    10992   /   6514    8718    /   48788   60708   /   0.0929  0.0916  0.0904 0.0958  3842746.3
333 4579    5009    /   8791    8526    /   6514    4535    /   48788   32122   /   0.0778  0.0766  0.0754 0.0822  2808298.451
